languages	waseda-01	uzh-02	uzh-01	ua-08	ua-07	ua-06	ua-05	ua-04	ua-03	ua-02	ua-01	tuebingen-oslo-03	tuebingen-oslo-02	tuebingen-oslo-01	racai-01	msu-04	msu-03	msu-02	msu-01	kucst-01	iitbhu-iiith-02	iitbhu-iiith-01	iit-varanasi-01	hamburg-01	bme-03	bme-02	bme-01	baseline	axsemantics-02	axsemantics-01
adyghe	87.8	94.2	94.4	0	0	0	0	0	0	0	0	55	34.6	47.1	0	80.6	93.5	94	88.9	66.1	93.4	93.4	92.9	92.1	90.5	93.1	90.8	84.8	91.9	0
albanian	72.7	87.2	88.1	0	0	0	0	0	0	0	0	3.3	3.4	2	0	78.8	77.2	72.8	65.5	10.5	88.8	87.3	39.2	79	46.2	46.3	46.2	61.8	26.5	0
arabic	66.7	78.6	79.4	0	0	0	0	0	0	0	0	5.1	22.3	0	0	0	0	0	0	0	78.3	74.4	38.8	63.8	47	37.2	47	39.5	22.6	0
armenian	85.3	92.4	92.8	0	0	0	0	0	0	0	0	9.8	8.3	8	0	86.8	86.8	80.5	77.4	12.3	90.8	88.7	67.4	88.2	58.7	58	58.7	70.4	63.4	0
asturian	91.8	92	91.6	0	0	0	0	0	0	0	0	40.1	51.8	26.2	0	90.3	89.4	88.4	89.6	49.7	92.4	91.8	90	91.7	88.6	86.4	87.8	89.1	82.5	0
azeri	84	94	95	0	0	0	0	0	0	0	0	54	46	34	0	96	92	80	81	11	96	92	94	89	56	65	56	50	89	0
bashkir	87.2	97.3	96.7	0	0	0	0	0	0	0	0	59.4	51.4	45.2	0	92	92.4	88.3	93.7	65.4	96.5	95	95.4	94.1	91.5	93.2	92.4	72.6	93.9	0
basque	80.5	86	88	0	0	0	0	0	0	0	0	1.4	2.7	2.4	0	59.5	51.6	2.7	10.4	49.4	88.1	86.5	69.2	33.1	37.7	34.2	37.7	1.9	0.7	0
belarusian	53.6	69.5	70.4	0	0	0	0	0	0	0	0	26.9	20.6	15.4	0	61.3	56.4	59.5	41.6	13	64.3	63.2	45.8	54	52.4	45.4	52.4	21.5	16.6	0
bengali	96	99	99	0	0	0	0	0	0	0	0	43	45	46	0	88	95	84	83	66	97	96	97	92	87	85	87	76	72	0
breton	93	96	95	0	0	0	0	0	0	0	0	42	55	30	0	93	91	77	70	66	92	90	94	88	90	93	88	67	81	0
bulgarian	80.8	83.8	83.3	0	0	0	0	0	0	0	0	22.9	17.1	20.6	0	76.9	77.8	72.2	75.8	32.1	81	78	35	78.8	58	59.7	58	70.8	52.6	0
catalan	92.8	92.2	92.1	0	0	0	0	0	0	0	0	37.3	43.4	14.1	0	90	90.5	85.4	86.1	23.3	92.1	91.8	83.8	84.4	84.2	88.1	84.5	85.6	79.5	0
classical-syriac	100	100	100	0	0	0	0	0	0	0	0	67	71	90	0	99	96	97	91	81	99	99	99	97	98	96	98	99	100	0
cornish	46	66	70	0	0	0	0	0	0	0	0	20	26	10	0	58	36	10	0	34	70	70	66	52	28	32	20	12	32	2
crimean-tatar	92	98	98	0	0	0	0	0	0	0	0	50	52	58	0	91	93	95	90	61	97	97	98	96	92	94	94	78	97	0
czech	82.3	86.6	87.2	0	0	0	0	0	0	0	0	10.5	17.4	8.6	0	79.4	78.6	76.3	69	7.2	80.4	79	61.1	82	35.7	32.9	35.5	79.9	61.1	0
danish	79.6	80	80.4	0	0	0	0	0	0	0	0	24	30.8	27.9	0	78.8	76.1	68.8	70.9	31.3	79.2	78.6	75.7	79	71.9	71.5	72.1	77.8	72	0
estonian	72.2	81.5	81.6	0	0	0	0	0	0	0	0	14.6	3.4	3.7	0	71.3	65.6	67.5	59.9	8.3	78.2	76.2	46.5	63.1	31.7	27	31.7	62.9	36.1	0
faroese	68.2	71.7	72.6	0	0	0	0	0	0	0	0	13.1	19.8	13.8	0	68	66.2	60.1	45.8	12.5	69.1	68	48.9	56.1	46.8	50.7	48.9	65.2	47	0
finnish	65.1	82.3	82.8	0	0	0	0	0	0	0	0	0.2	1.2	1.1	0	58.1	57	41.9	51.2	0	73.8	71.1	22	35.9	31.7	26.2	31.7	44.1	21.4	0
friulian	96	96	96	0	0	0	0	0	0	0	0	62	66	48	0	95	93	92	56	74	97	97	92	81	91	91	91	92	94	0
galician	88.9	90.4	90.8	0	0	0	0	0	0	0	0	46.2	43.5	26.7	0	85.8	82.9	82.8	77.5	40.6	88.9	88.4	82.5	86	81.4	81.5	84.4	82.8	78.9	0
georgian	93.2	94	93.9	0	0	0	0	0	0	0	0	30.5	43.9	28.1	0	91.2	92.3	84.4	91.1	35.4	93.5	93.4	91.2	92.6	90.2	91.5	90.2	92.1	91.4	0
greek	60.5	75.5	75.3	0	0	0	0	0	0	0	0	5.9	4.5	4.9	0	67	62	62	52.9	4.2	71.5	69.1	29.9	58.4	15.1	16.4	14.9	59.3	34.4	0
greenlandic	74	98	98	0	0	0	0	0	0	0	0	70	42	22	0	68	80	70	0	22	88	86	84	68	74	78	80	72	82	54
haida	62	94	94	0	0	0	0	0	0	0	0	78	58	28	0	91	92	81	75	21	87	85	90	16	84	71	80	61	81	0
hebrew	76.9	84.5	85.4	0	0	0	0	0	0	0	0	11.9	8.1	12.1	0	81.7	80.1	64.4	67.9	22.2	84.5	83.1	64.7	77.9	76.6	79	76.6	38.1	33	0
hindi	95.6	97.6	97.5	0	0	0	0	0	0	0	0	47.3	52.2	0.8	0	94.8	95	90.9	94.8	71.8	96.2	96	87.7	94.2	87.4	86.4	87.4	86.5	74.4	0
hungarian	53.8	73.4	73.7	0	0	0	0	0	0	0	0	5.9	7.8	2.4	0	65.9	68.8	64.5	65.3	1.5	74.5	72	57.1	51.6	58.6	51.1	58.6	44.4	56.8	0
icelandic	62.4	73.6	73.8	0	0	0	0	0	0	0	0	11.6	16.3	9.7	0	64.6	59.2	55.7	44.2	10.8	65.9	63.5	45.7	54.6	51.7	49.9	51.7	58.9	44.9	0
ingrian	68	92	92	0	0	0	0	0	0	0	0	46	36	24	0	88	86	56	0	68	90	90	88	58	88	84	78	46	80	44
irish	54.3	75.6	77.1	0	0	0	0	0	0	0	0	1.7	3.7	4.2	0	60.8	57.1	52.2	47.9	3	68.8	64.7	18.8	59.6	45.4	43.3	45.4	44	19.5	0
italian	91.9	95.1	94.9	0	0	0	0	0	0	0	0	13.2	1.5	11.4	0	88.9	92.5	85.8	87.3	10.9	93.2	91.7	68.9	85.9	78.3	79.1	77.5	72.5	50.6	0
kabardian	92	98	97	0	0	0	0	0	0	0	0	81	79	75	0	86	92	97	42	46	98	98	97	95	99	100	99	83	97	0
karelian	78	100	100	0	0	0	0	0	0	0	0	58	50	26	0	92	92	76	0	60	96	94	96	82	96	96	96	42	98	62
kashubian	66	88	88	0	0	0	0	0	0	0	0	74	56	32	0	84	78	72	0	6	86	82	84	82	78	88	78	68	60	76
kazakh	70	82	84	0	0	0	0	0	0	0	0	0	44	38	0	76	74	82	0	16	88	84	50	86	24	4	24	50	86	44
khakas	64	98	98	0	0	0	0	0	0	0	0	62	60	66	0	98	98	98	0	32	98	98	98	96	98	98	98	84	96	96
khaling	85.7	82.4	83.2	0	0	0	0	0	0	0	0	5.5	6.8	5.4	0	41.4	43.4	20.1	15.3	27.2	85.6	86	59.4	68.3	53.8	56.2	62.2	17.9	5.3	0
kurmanji	88.3	92.3	93.2	0	0	0	0	0	0	0	0	20.3	32.4	15.7	0	74.2	87.2	91	88.7	26.3	91.1	90.6	86.1	90	80.3	83.3	80.3	85.2	86.7	0
ladin	93	95	93	0	0	0	0	0	0	0	0	67	63	24	0	80	87	89	79	62	92	93	91	76	88	90	92	86	77	0
latin	37.9	51.7	53.3	0	0	0	0	0	0	0	0	2.9	5.2	3.2	0	38.2	40.8	37.5	27.9	2.6	46.2	44.8	31.3	21.4	22.6	22.6	22.6	37.6	11.2	0
latvian	88.2	89.8	90.6	0	0	0	0	0	0	0	0	19.5	23.3	6.4	0	85.3	84.4	86.5	82.4	9.7	88	86.5	73.7	86.3	72.6	64.4	72.6	85.5	79.9	0
lithuanian	52	63	63.9	0	0	0	0	0	0	0	0	18.2	12.2	3.4	0	45.9	48.1	55	39.5	3.6	55.6	53.4	46.8	40.8	26.5	23.6	26.7	52.2	25.2	0
livonian	74	79	82	0	0	0	0	0	0	0	0	42	5	13	0	67	63	54	59	23	75	77	62	70	46	44	46	51	52	0
lower-sorbian	81.4	84.2	85.1	0	0	0	0	0	0	0	0	27.3	29.7	20.3	0	78.2	80.8	78.9	57.9	15.5	84	82.3	69.8	78.6	69.3	65.7	69.3	68.9	68.6	0
macedonian	88.1	91.5	91.6	0	0	0	0	0	0	0	0	18	20.4	21.2	0	86.4	84.3	84.2	73.8	14.2	90.1	88.5	75.1	87.4	71.5	71.5	71.5	82.6	79.5	0
maltese	89	94	95	0	0	0	0	0	0	0	0	18	17	4	0	77	84	59	57	57	91	90	85	82	83	90	83	20	24	0
mapudungun	76	100	98	0	0	0	0	0	0	0	0	52	54	32	0	90	88	92	0	94	96	96	98	100	98	98	98	82	98	90
middle-french	93.2	94.5	94.3	0	0	0	0	0	0	0	0	61.3	19.9	31.4	0	92.9	92.7	90.8	93.1	54.7	93.3	92.6	89.4	89	85.4	90.2	85.4	90.3	86	0
middle-high-german	80	100	100	0	0	0	0	0	0	0	0	40	48	30	0	92	92	90	0	78	96	96	92	96	66	96	66	54	52	84
murrinhpatha	70	96	96	0	0	0	0	0	0	0	0	6	4	8	0	76	78	44	0	62	90	86	96	88	90	90	84	0	4	54
navajo	40.8	54	54.3	0	0	0	0	0	0	0	0	3	3.1	0.8	0	42.4	42	33.8	29.6	9.1	44.6	43	19.5	24.2	30.3	33.6	30.3	0	4.3	0
neapolitan	95	99	99	0	0	0	0	0	0	0	0	78	65	39	0	96	93	94	93	76	98	98	98	49	98	98	98	94	96	0
norman	66	86	84	0	0	0	0	0	0	0	0	30	24	6	0	38	34	46	0	14	88	88	26	58	32	44	32	46	34	28
northern-sami	60.3	75.2	76.1	0	0	0	0	0	0	0	0	13.1	8.2	2.6	0	56.7	57.8	34.6	33	8.3	70.2	66.1	39.4	31.3	44.6	47.5	44.6	34.8	23.1	0
norwegian-bokmaal	81.3	84	84.1	0	0	0	0	0	0	0	0	28.5	28.3	29.4	0	80.4	82.7	66.6	81.4	26.7	83.5	81.5	81.5	79	77	77.3	77	80.7	77.3	0
norwegian-nynorsk	60.5	65.9	67.1	0	0	0	0	0	0	0	0	18	19.8	20.6	0	61.1	61	49.3	57.2	15.2	64.2	62.9	57.5	53.9	56.9	58.6	56.9	61.1	54.4	0
occitan	96	95	94	0	0	0	0	0	0	0	0	62	59	14	0	92	89	89	79	41	94	94	93	81	82	69	82	92	84	0
old-armenian	72.7	79.2	80.2	0	0	0	0	0	0	0	0	14	24.4	17.2	0	66	69.7	71.4	41	13	78.1	77.1	57.3	65.9	42.2	43.3	42.1	67.3	55	0
old-church-slavonic	90	93	93	0	0	0	0	0	0	0	0	54	49	47	0	83	78	80	63	39	87	87	87	89	87	86	87	76	83	0
old-french	71.3	77.9	79.3	0	0	0	0	0	0	0	0	27.4	27.1	18.4	0	68.1	68.5	66.6	56	20.2	74.1	72.2	60.6	62.6	58.6	62.6	60.5	63.1	55.8	0
old-irish	16	34	40	0	0	0	0	0	0	0	0	8	6	4	0	12	26	16	0	6	26	22	24	6	6	6	6	16	8	8
old-saxon	70.3	80.9	80.7	0	0	0	0	0	0	0	0	21.5	18.8	11.1	0	70.9	71.1	47.6	38.3	19.4	74.9	74.1	64.7	67.4	61.5	48.8	61.5	39	31.6	0
pashto	77	83	85	0	0	0	0	0	0	0	0	18	7	18	0	73	75	68	46	43	85	81	73	80	65	70	65	69	57	0
persian	87	93.4	93.4	0	0	0	0	0	0	0	0	37.5	29.4	1.3	0	84.5	86.2	77.3	80.4	48.8	91.7	90.7	70.9	82.6	72.6	76.3	72.6	65.7	49.9	0
portuguese	93.8	94.8	94.7	0	0	0	0	0	0	0	0	35.6	11.9	22.9	0	90.4	91.3	90.4	89.1	26.3	92	92	37.3	84.9	88.6	80.8	89.3	92.4	84.3	0
quechua	70.9	98.7	98.9	0	0	0	0	0	0	0	0	48.6	1.9	21.7	0	96.7	95.3	73.3	69.3	21	98.6	98.2	77.3	78.4	80.8	79.7	80.8	70.9	95.9	0
romanian	71.5	77.1	77.6	0	0	0	0	0	0	0	0	13.7	15.9	5.6	0	68.3	68.4	68.8	56.6	12.7	73	72.2	48.5	68.7	61.4	59.7	61.4	69.4	47.2	0
sanskrit	79.1	85.9	85.9	0	0	0	0	0	0	0	0	21.7	21.5	26.5	0	78.5	77.7	79.6	36.5	14.1	85.5	84.7	68.8	79.8	64.8	65.3	64.8	59.7	76.3	0
scottish-gaelic	72	92	92	0	0	0	0	0	0	0	0	48	52	36	0	84	72	88	0	56	94	94	86	88	90	88	90	50	50	70
serbo-croatian	76.3	85.2	86.1	0	0	0	0	0	0	0	0	10.9	10.8	5	0	75.5	73.3	66.8	58.1	7.7	82.5	81.9	43.4	72.3	38.6	30.3	38.6	68.2	47.2	0
slovak	73.9	77.9	78.6	0	0	0	0	0	0	0	0	21.8	26.9	17.6	0	71	68.9	68.4	53.5	10.5	73.9	72.3	58.7	70.3	56.6	58	56.6	71.1	62.3	0
slovene	84.1	85.8	86.2	0	0	0	0	0	0	0	0	29.9	34.4	8.3	0	40.9	27.1	7.6	43.6	0.2	85	83.6	65.6	84.7	68.7	55	68.7	72.3	73.3	0
sorani	72	79.2	79.6	0	0	0	0	0	0	0	0	6.4	6.6	1.6	0	64.2	64.4	56.4	28.4	30.7	80.2	77.8	55.9	49.3	40.1	46.1	40.3	51.7	15.5	0
spanish	91.5	91.1	91.4	0	0	0	0	0	0	0	0	25.2	21.9	20.1	0	88.6	89.3	85.1	85.7	28.1	92	91.2	75.7	88.3	82.3	79.4	82.3	86.3	73.1	0
swahili	92	99	99	0	0	0	0	0	0	0	0	1	3	1	0	85	84	92	77	72	97	95	87	95	86	85	84	0	1	0
swedish	76.8	79.5	79.8	0	0	0	0	0	0	0	0	13.9	2.7	19	0	77.8	74.3	65.4	76.2	11.1	77.8	78.3	31.4	71.9	69.1	70	68.7	76.5	69.5	0
tatar	92	98	97	0	0	0	0	0	0	0	0	62	57	52	0	94	95	94	95	53	95	95	96	93	92	90	92	89	92	0
tibetan	38	56	52	0	0	0	0	0	0	0	0	26	38	42	0	44	44	52	0	24	50	40	22	46	26	30	26	36	42	44
turkish	69.2	90.3	90.7	0	0	0	0	0	0	0	0	20.7	18.9	12.6	0	82.5	81.2	65.4	80.5	9.3	90	88.2	79.2	68.6	38.3	36.5	38.3	32.8	73.7	0
turkmen	74	94	94	0	0	0	0	0	0	0	0	70	82	66	0	94	94	98	0	48	98	98	96	90	94	96	96	68	94	96
ukrainian	74	80.4	81.4	0	0	0	0	0	0	0	0	19.1	25.2	20.4	0	73	71.7	69.8	69.2	14.5	77.6	76	46.6	77.5	66.8	61.1	66.8	74.1	62.7	0
urdu	93.9	96.8	96.7	0	0	0	0	0	0	0	0	53.6	45.5	2.7	0	94.1	92.2	89.4	87.2	80.7	96.7	96.4	87.5	94.7	82.9	83.9	85.9	87.6	78.2	0
uzbek	96	100	100	0	0	0	0	0	0	0	0	63	59	66	0	100	94	100	89	14	100	100	100	100	100	100	100	96	100	0
venetian	91.8	95.1	94.4	0	0	0	0	0	0	0	0	56	58.4	20.1	0	93.1	91.6	88.5	70.6	45.4	92.8	92.3	91.9	92.1	81.1	82.2	86.4	89.1	89.8	0
votic	74	88	86	0	0	0	0	0	0	0	0	45	39	21	0	67	71	49	19	59	86	83	78	42	79	79	78	34	64	0
welsh	81	83	84	0	0	0	0	0	0	0	0	41	46	9	0	77	71	67	56	23	82	82	81	67	79	85	81	58	62	0
west-frisian	96	98	97	0	0	0	0	0	0	0	0	48	53	28	0	90	74	73	60	76	89	86	94	91	91	92	91	65	67	0
yiddish	91	94	92	0	0	0	0	0	0	0	0	56	63	39	0	85	89	89	80	62	89	89	88	92	80	84	79	87	78	0
zulu	82.8	87.3	87.2	0	0	0	0	0	0	0	0	1.2	1.5	0.8	0	70.4	68.4	71.6	67.4	15.8	85.2	82.8	52.6	81.8	60	54	60	0.1	1.7	0
dutch	77.1	85.6	85.7	0	0	0	0	0	0	0	0	16.3	25.6	14.3	0	80.4	84	65.9	73.9	0	82	81.9	71	77.8	66.4	66.1	66.4	72.4	61.2	0
english	91.5	94.2	94.5	0	0	0	0	0	0	0	0	29.3	28.1	26.1	0	92.7	94.4	86.4	92.6	0	94.2	93.5	90.9	90.2	90.4	89.6	90.4	90.5	89	0
french	73.1	80.9	80.2	0	0	0	0	0	0	0	0	14.5	29.8	22.3	0	75.7	76.5	73.9	74.6	0	78.6	78.2	69.3	71.8	73.4	74.6	73.4	73.2	66.9	0
german	74	79.5	80.1	0	0	0	0	0	0	0	0	12.1	14.1	11.9	0	74.1	74.4	68	73.5	0	76.8	76.7	65.5	70.9	67.5	66	67.5	71.7	67.6	0
kannada	93	94	94	0	0	0	0	0	0	0	0	20	19	20	0	87	87	64	59	0	92	91	85	86	74	78	73	55	81	0
middle-low-german	72	98	98	0	0	0	0	0	0	0	0	58	60	36	0	94	82	68	0	0	98	100	92	96	86	98	86	38	30	76
north-frisian	87	89	91	0	0	0	0	0	0	0	0	14	20	3	0	78	70	49	42	0	88	89	85	75	72	69	72	33	29	0
old-english	56.3	65	65.6	0	0	0	0	0	0	0	0	23.6	24	10.7	0	52.9	58.3	33.5	46.1	0	62.7	60.3	42.4	45.7	35.3	37.3	37.7	27.8	18	0
polish	75.9	82.4	82.2	0	0	0	0	0	0	0	0	9.5	7.5	9.6	0	72.3	74.5	74.1	62.6	0	76.1	73.4	55.1	75.1	49.7	49.4	49.7	73.5	60.8	0
russian	79.5	86.8	86.9	0	0	0	0	0	0	0	0	8.5	1.8	9.6	0	76.4	76.2	72.2	66.7	0	80.1	78.2	59.9	77.3	51.7	51.8	51.7	76.4	56.7	0
average	77.38333333	86.37647059	86.64313725	0	0	0	0	0	0	0	0	30.97941176	29.72156863	20.97254902	0	76.39803922	75.73627451	69.44901961	54.44215686	29.11862745	84.18529412	82.89509804	70.17352941	74.02843137	67.35784314	67.25882353	67.43039216	61.7754902	60.00392157	9.098039216